avg_rank,avg_tier,team,rank_avg,tier_avg,avg_potential,avgAdv_nxtGWs
1,1,LIV,1.5,1.0,1.6514930832125507,28.0
2,1,ARS,2.0,1.25,1.3520474083743028,22.5
3,2,CHE,6.25,3.25,1.0926812750540815,17.25
8,4,FUL,7.5,4.0,0.15242718788948426,15.5
7,4,NFO,5.75,3.25,0.5642444269809356,13.5
10,5,BHA,5.25,3.0,0.021957492553025836,13.0
4,2,NEW,9.25,5.0,0.8185468959568216,9.75
9,5,MCI,9.5,5.0,0.08760137928588985,9.75
14,7,AVL,8.75,4.5,-0.34930224693231327,3.25
5,3,TOT,10.75,5.5,0.5915001756815299,2.0
15,8,CRY,14.0,7.0,-0.39509966076900727,0.5
6,3,BOU,9.25,4.75,0.5789282281450128,-1.75
16,8,WHU,11.75,6.25,-0.40893027144593547,-9.75
13,7,EVE,12.25,6.5,-0.3382342713223832,-11.5
12,6,MUN,13.5,7.0,-0.3063558110253253,-12.5
11,6,BRE,15.0,7.75,-0.12964134287713092,-15.0
20,10,SOU,18.5,9.5,-1.740980014399764,-17.5
18,9,LEI,17.0,8.75,-1.306738135438682,-17.75
17,9,WOL,15.5,8.0,-0.6272580009099769,-21.75
19,10,IPS,16.75,8.75,-1.3088877980100264,-27.5
