fpl_rank,fpl_tier,team,fpl_xPts,avg_GD/match,fpl_potential,fplAdv_nxtGWs
2,1,ARS,51.91637966740505,0.9230769230769231,1.2980028981912388,29
1,1,LIV,59.5125628205774,1.3846153846153846,2.087241780533487,27
4,2,CHE,47.46502174451972,0.9230769230769231,0.9786727819313223,18
7,4,BHA,42.36175257846119,0.38461538461538464,0.32755206642726864,13
3,2,TOT,49.560103896635084,1.0769230769230769,1.2104045544053943,12
6,3,BRE,44.30873469471228,0.23076923076923078,0.38578863060877644,10
5,3,MUN,51.69888771990554,0.3076923076923077,0.9566588203022578,8
12,6,WOL,42.98740898182891,-0.7692307692307693,-0.23833049522470545,6
11,6,WHU,42.34752415750147,-0.5384615384615384,-0.16208121089429522,5
10,5,BOU,39.207102931442385,0.07692307692307693,-0.06162605334940225,4
8,4,NFO,41.64372422923004,0.23076923076923078,0.1946069470589783,3
14,7,MCI,30.62735020134372,0.23076923076923078,-0.5956822321182433,-3
13,7,NEW,37.09016994374947,0.0,-0.25420764058719575,-4
9,5,FUL,41.334424935192416,0.0,0.0502653906379538,-7
16,8,AVL,32.46394894105642,-0.23076923076923078,-0.7082351703647751,-9
18,9,IPS,32.12895940653867,-0.8461538461538461,-1.0580082532505652,-17
17,9,CRY,32.26830782913446,-0.5384615384615384,-0.8851408654346185,-19
15,8,EVE,37.733329573654174,-0.8461538461538461,-0.6559637068300058,-23
19,10,LEI,28.40274404336435,-0.8461538461538461,-1.3253183203673664,-26
20,10,SOU,27.616396585961265,-1.1538461538461537,-1.5445999216769635,-27
